,sensor,start_time,end_time
238,PlugTvHall.csv,2023-09-25 15:05:59.352,2023-09-25 15:06:29.369
239,PlugTvHall.csv,2023-09-25 15:08:59.329,2023-09-25 15:09:29.759
240,PlugTvHall.csv,2023-09-25 16:15:38.331,2023-09-25 16:16:08.350
241,PlugTvHall.csv,2023-09-25 16:39:10.410,2023-09-25 21:19:02.391
242,PlugTvHall.csv,2023-09-25 21:51:32.376,2023-09-25 22:05:32.430
243,PlugTvHall.csv,2023-09-25 22:20:32.333,2023-09-25 22:21:02.405
244,PlugTvHall.csv,2023-09-25 22:26:02.342,2023-09-25 22:26:32.307
245,PlugTvHall.csv,2023-09-25 22:31:02.304,2023-09-25 22:31:32.382
246,PlugTvHall.csv,2023-09-25 22:35:02.282,2023-09-25 22:35:32.370
247,PlugTvHall.csv,2023-09-25 22:36:32.364,2023-09-25 22:37:02.363
248,PlugTvHall.csv,2023-09-25 22:39:32.396,2023-09-25 22:43:32.445
249,PlugTvHall.csv,2023-09-25 23:12:02.338,2023-09-25 23:23:02.438
250,PlugTvHall.csv,2023-09-25 23:24:32.349,2023-09-25 23:42:32.370
251,PlugTvHall.csv,2023-09-25 23:54:02.364,2023-09-25 23:54:32.357
252,Refrigerator.csv,2023-09-25 12:04:45.391,2023-09-25 12:05:04.523
253,Refrigerator.csv,2023-09-25 12:05:14.679,2023-09-25 12:05:23.701
254,Refrigerator.csv,2023-09-25 12:15:29.938,2023-09-25 12:15:33.222
255,Refrigerator.csv,2023-09-25 12:15:56.435,2023-09-25 12:16:10.096
256,Refrigerator.csv,2023-09-25 12:18:47.517,2023-09-25 12:18:52.427
257,Refrigerator.csv,2023-09-25 12:25:09.675,2023-09-25 12:25:14.424
258,Refrigerator.csv,2023-09-25 12:26:51.764,2023-09-25 12:26:56.082
259,Refrigerator.csv,2023-09-25 12:46:06.320,2023-09-25 12:46:15.166
260,Refrigerator.csv,2023-09-25 16:10:02.427,2023-09-25 16:10:50.231
261,Refrigerator.csv,2023-09-25 16:12:08.065,2023-09-25 16:12:30.195
262,Refrigerator.csv,2023-09-25 16:19:13.179,2023-09-25 16:19:26.070
263,Refrigerator.csv,2023-09-25 18:09:32.655,2023-09-25 18:09:38.009
264,Refrigerator.csv,2023-09-25 18:10:53.373,2023-09-25 18:10:57.626
265,Refrigerator.csv,2023-09-25 18:12:32.103,2023-09-25 18:13:10.334
266,Refrigerator.csv,2023-09-25 18:23:47.746,2023-09-25 18:23:53.708
267,Refrigerator.csv,2023-09-25 18:28:24.516,2023-09-25 18:28:28.707
268,Refrigerator.csv,2023-09-25 18:40:37.174,2023-09-25 18:40:40.178
269,Refrigerator.csv,2023-09-25 18:42:30.274,2023-09-25 18:42:35.421
270,Refrigerator.csv,2023-09-25 18:47:31.059,2023-09-25 18:47:35.265
271,Refrigerator.csv,2023-09-25 18:47:39.291,2023-09-25 18:47:43.380
272,Refrigerator.csv,2023-09-25 19:12:02.986,2023-09-25 19:12:16.719
273,Refrigerator.csv,2023-09-25 21:38:09.853,2023-09-25 21:38:18.126
